pair,family_type,assessment_family,projects,lineages,left_enabled,right_enabled,left_proportion,right_proportion,left_minus_right_percentage_points,ci_low_percentage_points,ci_high_percentage_points,cohort,observational_unit
Debian ↔ Fedora,CROSS_FAMILY,ProtectSystem,178,335,38,33,0.11343283582089553,0.09850746268656717,1.4925373134328357,-0.42198562540227413,4.181217789907394,C1X,paired lineage
Debian ↔ Fedora,CROSS_FAMILY,RemoveIPC,178,335,15,13,0.04477611940298507,0.03880597014925373,0.5970149253731344,-0.6431386785603153,2.4390243902439024,C1X,paired lineage
Debian ↔ Fedora,CROSS_FAMILY,RestrictAddressFamilies,178,335,52,47,0.15522388059701492,0.14029850746268657,1.4925373134328357,0.0,3.9146175449127463,C1X,paired lineage
Debian ↔ Fedora,CROSS_FAMILY,RestrictNamespaces,178,335,42,36,0.1253731343283582,0.10746268656716418,1.791044776119403,0.0,4.361463432725113,C1X,paired lineage
Debian ↔ Fedora,CROSS_FAMILY,RestrictRealtime,178,335,57,51,0.1701492537313433,0.15223880597014924,1.791044776119403,-0.3077881619937694,4.651343348259422,C1X,paired lineage
Debian ↔ Fedora,CROSS_FAMILY,RestrictSUIDSGID,178,335,40,35,0.11940298507462686,0.1044776119402985,1.4925373134328357,-0.3049248092174173,4.032258064516129,C1X,paired lineage
Debian ↔ Fedora,CROSS_FAMILY,RootDirectoryOrRootImage,178,335,0,0,0.0,0.0,0.0,0.0,0.0,C1X,paired lineage
Debian ↔ Fedora,CROSS_FAMILY,SupplementaryGroups,178,335,62,72,0.18507462686567164,0.21492537313432836,-2.9850746268656714,-10.180083911125118,1.2195121951219512,C1X,paired lineage
Debian ↔ Fedora,CROSS_FAMILY,SystemCallArchitectures,178,335,43,38,0.12835820895522387,0.11343283582089553,1.4925373134328357,-0.37178188980746824,4.029304029304029,C1X,paired lineage
Debian ↔ Fedora,CROSS_FAMILY,SystemCallFilter,178,335,44,36,0.13134328358208955,0.10746268656716418,2.3880597014925375,0.8644912054059426,4.762283894449493,C1X,paired lineage
Debian ↔ Fedora,CROSS_FAMILY,UMask,178,335,6,6,0.01791044776119403,0.01791044776119403,0.0,-0.9036144578313252,0.8645533141210375,C1X,paired lineage
Debian ↔ Fedora,CROSS_FAMILY,UserOrDynamicUser,178,335,66,76,0.19701492537313434,0.22686567164179106,-2.9850746268656714,-10.037923205508845,1.2903225806451613,C1X,paired lineage
Debian ↔ Arch,CROSS_FAMILY,AmbientCapabilities,130,192,177,172,0.921875,0.8958333333333334,2.604166666666667,0.0,5.699481865284974,C1X,paired lineage
Debian ↔ Arch,CROSS_FAMILY,CapabilityBoundingSet,130,192,73,75,0.3802083333333333,0.390625,-1.0416666666666665,-7.965486725663716,5.465368852459003,C1X,paired lineage
Debian ↔ Arch,CROSS_FAMILY,Delegate,130,192,190,190,0.9895833333333334,0.9895833333333334,0.0,0.0,0.0,C1X,paired lineage
Debian ↔ Arch,CROSS_FAMILY,DeviceAllow,130,192,14,18,0.07291666666666667,0.09375,-2.083333333333333,-6.952204219543991,3.0306875865251444,C1X,paired lineage
Debian ↔ Arch,CROSS_FAMILY,IPAddressDeny,130,192,4,4,0.020833333333333332,0.020833333333333332,0.0,0.0,0.0,C1X,paired lineage
Debian ↔ Arch,CROSS_FAMILY,KeyringMode,130,192,192,192,1.0,1.0,0.0,0.0,0.0,C1X,paired lineage
Debian ↔ Arch,CROSS_FAMILY,LockPersonality,130,192,28,30,0.14583333333333334,0.15625,-1.0416666666666665,-5.181871274970798,2.941538684439288,C1X,paired lineage
Debian ↔ Arch,CROSS_FAMILY,MemoryDenyWriteExecute,130,192,33,34,0.171875,0.17708333333333334,-0.5208333333333333,-4.433771209633278,3.636600378787875,C1X,paired lineage
Debian ↔ Arch,CROSS_FAMILY,NoNewPrivileges,130,192,42,48,0.21875,0.25,-3.125,-8.911333097595474,2.395425495163516,C1X,paired lineage
Debian ↔ Arch,CROSS_FAMILY,NotifyAccess,130,192,190,190,0.9895833333333334,0.9895833333333334,0.0,0.0,0.0,C1X,paired lineage
Debian ↔ Arch,CROSS_FAMILY,PrivateDevices,130,192,33,33,0.171875,0.171875,0.0,-4.597701149425287,4.9108972482435576,C1X,paired lineage
Debian ↔ Arch,CROSS_FAMILY,PrivateMounts,130,192,192,192,1.0,1.0,0.0,0.0,0.0,C1X,paired lineage
Debian ↔ Arch,CROSS_FAMILY,PrivateNetwork,130,192,9,9,0.046875,0.046875,0.0,0.0,0.0,C1X,paired lineage
Debian ↔ Arch,CROSS_FAMILY,PrivateTmp,130,192,44,43,0.22916666666666666,0.22395833333333334,0.5208333333333333,-4.568527918781726,5.472636815920398,C1X,paired lineage
Debian ↔ Arch,CROSS_FAMILY,PrivateUsers,130,192,10,8,0.052083333333333336,0.041666666666666664,1.0416666666666665,-1.6666666666666667,4.324324324324325,C1X,paired lineage
Debian ↔ Arch,CROSS_FAMILY,ProcSubset,130,192,3,3,0.015625,0.015625,0.0,-1.5544041450777202,1.5546065414507741,C1X,paired lineage
Debian ↔ Arch,CROSS_FAMILY,ProtectClock,130,192,24,21,0.125,0.109375,1.5625,-2.010304045479925,5.479828390787289,C1X,paired lineage
Debian ↔ Arch,CROSS_FAMILY,ProtectControlGroups,130,192,42,40,0.21875,0.20833333333333334,1.0416666666666665,-3.1254090314136125,5.320578814916474,C1X,paired lineage
Debian ↔ Arch,CROSS_FAMILY,ProtectHome,130,192,37,40,0.19270833333333334,0.20833333333333334,-1.5625,-5.660913379073756,2.4271844660194173,C1X,paired lineage
Debian ↔ Arch,CROSS_FAMILY,ProtectHostname,130,192,28,32,0.14583333333333334,0.16666666666666666,-2.083333333333333,-6.321839080459771,2.105541631857417,C1X,paired lineage
Debian ↔ Arch,CROSS_FAMILY,ProtectKernelLogs,130,192,31,30,0.16145833333333334,0.15625,0.5208333333333333,-3.431795131845842,4.545454545454546,C1X,paired lineage
Debian ↔ Arch,CROSS_FAMILY,ProtectKernelModules,130,192,41,38,0.21354166666666666,0.19791666666666666,1.5625,-2.6455026455026456,5.820234242564338,C1X,paired lineage
Debian ↔ Arch,CROSS_FAMILY,ProtectKernelTunables,130,192,40,35,0.20833333333333334,0.18229166666666666,2.604166666666667,-2.4630541871921183,8.247547793013709,C1X,paired lineage
Debian ↔ Arch,CROSS_FAMILY,ProtectProc,130,192,19,13,0.09895833333333333,0.06770833333333333,3.125,-0.5102694924123495,7.526881720430108,C1X,paired lineage
Debian ↔ Arch,CROSS_FAMILY,ProtectSystem,130,192,26,30,0.13541666666666666,0.15625,-2.083333333333333,-6.857732634338139,2.512562814070352,C1X,paired lineage
