distribution,assessment_family,added,removed,modified,total_changed,denominator,projects,change_rate,ci_low,ci_high,analysis_classification,observational_unit
debian,ProtectHome,1,1,2,4,241,144,0.016597510373443983,0.003436426116838488,0.03571428571428571,derived descriptive analysis,lineage-distribution assessment family
debian,ProtectHostname,0,0,0,0,241,144,0.0,0.0,0.0,derived descriptive analysis,lineage-distribution assessment family
debian,ProtectKernelLogs,0,0,0,0,241,144,0.0,0.0,0.0,derived descriptive analysis,lineage-distribution assessment family
debian,ProtectKernelModules,0,1,0,1,241,144,0.004149377593360996,0.0,0.015,derived descriptive analysis,lineage-distribution assessment family
debian,ProtectKernelTunables,0,2,0,2,241,144,0.008298755186721992,0.0,0.022556390977443608,derived descriptive analysis,lineage-distribution assessment family
debian,ProtectProc,0,0,0,0,240,144,0.0,0.0,0.0,derived descriptive analysis,lineage-distribution assessment family
debian,ProtectSystem,0,2,2,4,241,144,0.016597510373443983,0.0033222591362126247,0.03649718361497182,derived descriptive analysis,lineage-distribution assessment family
debian,RemoveIPC,0,1,7,8,222,136,0.036036036036036036,0.012987012987012988,0.06915288603328412,derived descriptive analysis,lineage-distribution assessment family
debian,RestrictAddressFamilies,0,2,0,2,241,144,0.008298755186721992,0.0,0.022643653516294993,derived descriptive analysis,lineage-distribution assessment family
debian,RestrictNamespaces,0,0,0,0,240,144,0.0,0.0,0.0,derived descriptive analysis,lineage-distribution assessment family
debian,RestrictRealtime,0,1,0,1,241,144,0.004149377593360996,0.0,0.015001884422110525,derived descriptive analysis,lineage-distribution assessment family
debian,RestrictSUIDSGID,0,1,0,1,240,144,0.004166666666666667,0.0,0.014927238805970121,derived descriptive analysis,lineage-distribution assessment family
debian,RootDirectoryOrRootImage,0,0,1,1,239,143,0.0041841004184100415,0.0,0.01485148514851485,derived descriptive analysis,lineage-distribution assessment family
debian,SupplementaryGroups,4,3,1,8,222,136,0.036036036036036036,0.014133031403971532,0.06806282722513089,derived descriptive analysis,lineage-distribution assessment family
debian,SystemCallArchitectures,0,0,0,0,240,144,0.0,0.0,0.0,derived descriptive analysis,lineage-distribution assessment family
debian,SystemCallFilter,0,0,0,0,240,144,0.0,0.0,0.0,derived descriptive analysis,lineage-distribution assessment family
debian,UMask,0,0,0,0,239,143,0.0,0.0,0.0,derived descriptive analysis,lineage-distribution assessment family
debian,UserOrDynamicUser,4,3,1,8,224,136,0.03571428571428571,0.012929647032706822,0.06779661016949153,derived descriptive analysis,lineage-distribution assessment family
ubuntu,AmbientCapabilities,1,0,0,1,314,185,0.0031847133757961785,0.0,0.011081101877500759,derived descriptive analysis,lineage-distribution assessment family
ubuntu,CapabilityBoundingSet,0,3,0,3,322,186,0.009316770186335404,0.0,0.022582166768107096,derived descriptive analysis,lineage-distribution assessment family
ubuntu,Delegate,0,0,0,0,315,185,0.0,0.0,0.0,derived descriptive analysis,lineage-distribution assessment family
ubuntu,DeviceAllow,0,0,0,0,314,185,0.0,0.0,0.0,derived descriptive analysis,lineage-distribution assessment family
ubuntu,IPAddressDeny,0,0,0,0,314,185,0.0,0.0,0.0,derived descriptive analysis,lineage-distribution assessment family
ubuntu,KeyringMode,0,0,0,0,315,186,0.0,0.0,0.0,derived descriptive analysis,lineage-distribution assessment family
ubuntu,LockPersonality,0,0,0,0,315,186,0.0,0.0,0.0,derived descriptive analysis,lineage-distribution assessment family
ubuntu,MemoryDenyWriteExecute,0,1,0,1,315,186,0.0031746031746031746,0.0,0.010948905109489052,derived descriptive analysis,lineage-distribution assessment family
ubuntu,NoNewPrivileges,1,1,0,2,315,186,0.006349206349206349,0.0,0.017241379310344827,derived descriptive analysis,lineage-distribution assessment family
ubuntu,NotifyAccess,0,0,0,0,315,186,0.0,0.0,0.0,derived descriptive analysis,lineage-distribution assessment family
ubuntu,PrivateDevices,0,0,0,0,315,186,0.0,0.0,0.0,derived descriptive analysis,lineage-distribution assessment family
ubuntu,PrivateMounts,0,0,0,0,314,185,0.0,0.0,0.0,derived descriptive analysis,lineage-distribution assessment family
ubuntu,PrivateNetwork,0,0,0,0,314,185,0.0,0.0,0.0,derived descriptive analysis,lineage-distribution assessment family
ubuntu,PrivateTmp,6,2,1,9,315,186,0.02857142857142857,0.008901747444774151,0.05555985552115576,derived descriptive analysis,lineage-distribution assessment family
ubuntu,PrivateUsers,0,0,0,0,314,185,0.0,0.0,0.0,derived descriptive analysis,lineage-distribution assessment family
ubuntu,ProcSubset,0,0,0,0,314,185,0.0,0.0,0.0,derived descriptive analysis,lineage-distribution assessment family
ubuntu,ProtectClock,0,0,0,0,315,186,0.0,0.0,0.0,derived descriptive analysis,lineage-distribution assessment family
ubuntu,ProtectControlGroups,0,1,0,1,316,186,0.0031645569620253164,0.0,0.011194291149295535,derived descriptive analysis,lineage-distribution assessment family
ubuntu,ProtectHome,1,1,3,5,316,186,0.015822784810126583,0.003194633808835799,0.03252164932072772,derived descriptive analysis,lineage-distribution assessment family
ubuntu,ProtectHostname,0,0,0,0,316,186,0.0,0.0,0.0,derived descriptive analysis,lineage-distribution assessment family
ubuntu,ProtectKernelLogs,0,0,0,0,316,186,0.0,0.0,0.0,derived descriptive analysis,lineage-distribution assessment family
ubuntu,ProtectKernelModules,0,1,0,1,316,186,0.0031645569620253164,0.0,0.01123701106699331,derived descriptive analysis,lineage-distribution assessment family
ubuntu,ProtectKernelTunables,0,2,0,2,316,186,0.006329113924050633,0.0,0.01718213058419244,derived descriptive analysis,lineage-distribution assessment family
ubuntu,ProtectProc,0,0,0,0,315,186,0.0,0.0,0.0,derived descriptive analysis,lineage-distribution assessment family
ubuntu,ProtectSystem,1,2,2,5,316,186,0.015822784810126583,0.0032359849671155655,0.03321088951070779,derived descriptive analysis,lineage-distribution assessment family
ubuntu,RemoveIPC,1,1,9,11,289,176,0.03806228373702422,0.017179198479997188,0.06617711108833776,derived descriptive analysis,lineage-distribution assessment family
ubuntu,RestrictAddressFamilies,0,1,0,1,316,186,0.0031645569620253164,0.0,0.011494252873563218,derived descriptive analysis,lineage-distribution assessment family
ubuntu,RestrictNamespaces,0,0,0,0,315,186,0.0,0.0,0.0,derived descriptive analysis,lineage-distribution assessment family
ubuntu,RestrictRealtime,0,1,0,1,316,186,0.0031645569620253164,0.0,0.011363636363636364,derived descriptive analysis,lineage-distribution assessment family
ubuntu,RestrictSUIDSGID,1,1,0,2,315,186,0.006349206349206349,0.0,0.017543859649122806,derived descriptive analysis,lineage-distribution assessment family
ubuntu,RootDirectoryOrRootImage,0,0,1,1,314,185,0.0031847133757961785,0.0,0.011320754716981131,derived descriptive analysis,lineage-distribution assessment family
ubuntu,SupplementaryGroups,4,6,1,11,289,176,0.03806228373702422,0.017064846416382253,0.06584362139917696,derived descriptive analysis,lineage-distribution assessment family
ubuntu,SystemCallArchitectures,0,0,0,0,315,186,0.0,0.0,0.0,derived descriptive analysis,lineage-distribution assessment family
