distribution,assessment_family,enabled,lineages,projects,proportion,ci_low,ci_high,cohort,observational_unit
ubuntu,KeyringMode,525,525,302,1.0,1.0,1.0,C1X,lineage-distribution
ubuntu,LockPersonality,66,525,302,0.12571428571428572,0.07780320366132723,0.1691084028082972,C1X,lineage-distribution
ubuntu,MemoryDenyWriteExecute,74,525,302,0.14095238095238094,0.09648794094443817,0.17915677438960687,C1X,lineage-distribution
ubuntu,NoNewPrivileges,93,525,302,0.17714285714285713,0.1318181818181818,0.21850491474161754,C1X,lineage-distribution
ubuntu,NotifyAccess,511,525,302,0.9733333333333334,0.951469494332909,0.9908051249604555,C1X,lineage-distribution
ubuntu,PrivateDevices,71,525,302,0.13523809523809524,0.10286653818357022,0.1784180302076777,C1X,lineage-distribution
ubuntu,PrivateMounts,525,525,302,1.0,1.0,1.0,C1X,lineage-distribution
ubuntu,PrivateNetwork,21,525,302,0.04,0.02159788368009696,0.05976095617529881,C1X,lineage-distribution
ubuntu,PrivateTmp,96,525,302,0.18285714285714286,0.13787971006473745,0.24146520398612561,C1X,lineage-distribution
ubuntu,PrivateUsers,19,525,302,0.03619047619047619,0.01639344262295082,0.06401916029061915,C1X,lineage-distribution
ubuntu,ProcSubset,7,525,302,0.013333333333333334,0.0014466618909104423,0.0339627221102766,C1X,lineage-distribution
ubuntu,ProtectClock,46,525,302,0.08761904761904762,0.060886564914264175,0.12090738679632124,C1X,lineage-distribution
ubuntu,ProtectControlGroups,83,525,302,0.1580952380952381,0.12280701754385964,0.19956682320820318,C1X,lineage-distribution
ubuntu,ProtectHome,83,525,302,0.1580952380952381,0.11936303548045145,0.2079449069347365,C1X,lineage-distribution
ubuntu,ProtectHostname,59,525,302,0.11238095238095239,0.0725266524520256,0.14604908112953832,C1X,lineage-distribution
ubuntu,ProtectKernelLogs,61,525,302,0.11619047619047619,0.07833998288642151,0.15103068766368696,C1X,lineage-distribution
ubuntu,ProtectKernelModules,80,525,302,0.1523809523809524,0.11724137931034483,0.1917847658612257,C1X,lineage-distribution
ubuntu,ProtectKernelTunables,70,525,302,0.13333333333333333,0.1002165919233581,0.17590372964131862,C1X,lineage-distribution
ubuntu,ProtectProc,35,525,302,0.06666666666666667,0.033405716406829995,0.09728983128842858,C1X,lineage-distribution
ubuntu,ProtectSystem,57,525,302,0.10857142857142857,0.07744760962236841,0.14622929130234694,C1X,lineage-distribution
ubuntu,RemoveIPC,31,525,302,0.05904761904761905,0.033945809759547384,0.09475931606349666,C1X,lineage-distribution
ubuntu,RestrictAddressFamilies,71,525,302,0.13523809523809524,0.08714517870063937,0.1767401284977374,C1X,lineage-distribution
ubuntu,RestrictNamespaces,60,525,302,0.11428571428571428,0.07542524472866897,0.14800370370370364,C1X,lineage-distribution
ubuntu,RestrictRealtime,76,525,302,0.14476190476190476,0.09839723149641745,0.18456656030379343,C1X,lineage-distribution
ubuntu,RestrictSUIDSGID,60,525,302,0.11428571428571428,0.07159478349812479,0.15124387940331296,C1X,lineage-distribution
ubuntu,RootDirectoryOrRootImage,0,525,302,0.0,0.0,0.0,C1X,lineage-distribution
ubuntu,SupplementaryGroups,124,525,302,0.2361904761904762,0.17101720001432338,0.3151001534839827,C1X,lineage-distribution
ubuntu,SystemCallArchitectures,60,525,302,0.11428571428571428,0.06507458439928795,0.1564725267270565,C1X,lineage-distribution
ubuntu,SystemCallFilter,59,525,302,0.11238095238095239,0.07077625570776255,0.1467578019495666,C1X,lineage-distribution
ubuntu,UMask,8,525,302,0.015238095238095238,0.003780362336640572,0.031818181818181815,C1X,lineage-distribution
ubuntu,UserOrDynamicUser,129,525,302,0.24571428571428572,0.18587074052516764,0.317901913875598,C1X,lineage-distribution
