entity_type,entity_id,stage,reason_code,technical_detail
upstream_artifact,debian:https://github.com/vmatare/thinkfan::thinkfan,upstream_recovery,U5_AMBIGUOUS_OR_UNRESOLVED,"no unique upstream artifact; candidates=2, executable_candidates=2"
upstream_artifact,debian:https://github.com/vmware/open-vm-tools::VGAuthService,upstream_recovery,U4_NO_UPSTREAM_UNIT,complete pristine orig-tar inventory contained no service unit or template
upstream_artifact,debian:https://github.com/vmware/open-vm-tools::vmtoolsd,upstream_recovery,U4_NO_UPSTREAM_UNIT,complete pristine orig-tar inventory contained no service unit or template
upstream_artifact,debian:https://gitlab.freedesktop.org/bolt/bolt::boltd,upstream_recovery,U5_AMBIGUOUS_OR_UNRESOLVED,pristine source unavailable
upstream_artifact,debian:https://gitlab.freedesktop.org/hadess/iio-sensor-proxy::iio-sensor-proxy,upstream_recovery,U5_AMBIGUOUS_OR_UNRESOLVED,pristine source unavailable
upstream_artifact,debian:https://gitlab.freedesktop.org/hadess/switcheroo-control::switcheroo-control,upstream_recovery,U5_AMBIGUOUS_OR_UNRESOLVED,pristine source unavailable
upstream_artifact,debian:https://gitlab.freedesktop.org/upower/power-profiles-daemon::power-profiles-daemon,upstream_recovery,U5_AMBIGUOUS_OR_UNRESOLVED,pristine source unavailable
upstream_artifact,debian:https://hcpnet.free.fr/milter-greylist::milter-greylist,upstream_recovery,U4_NO_UPSTREAM_UNIT,complete pristine orig-tar inventory contained no service unit or template
upstream_artifact,debian:https://hitch-tls.org::hitch,upstream_recovery,U4_NO_UPSTREAM_UNIT,complete pristine orig-tar inventory contained no service unit or template
upstream_artifact,debian:https://httpd.apache.org::apachectl,upstream_recovery,U4_NO_UPSTREAM_UNIT,complete pristine orig-tar inventory contained no service unit or template
upstream_artifact,debian:https://httpd.apache.org::htcacheclean,upstream_recovery,U4_NO_UPSTREAM_UNIT,complete pristine orig-tar inventory contained no service unit or template
upstream_artifact,debian:https://humdi.net/vnstat::vnstatd,upstream_recovery,U5_AMBIGUOUS_OR_UNRESOLVED,ambiguous exact artifacts=2
upstream_artifact,debian:https://i2pd.website::i2pd,upstream_recovery,U5_AMBIGUOUS_OR_UNRESOLVED,ambiguous exact artifacts=3
upstream_artifact,debian:https://kea.isc.org::kea-ctrl-agent,upstream_recovery,U4_NO_UPSTREAM_UNIT,complete pristine orig-tar inventory contained no service unit or template
upstream_artifact,debian:https://kea.isc.org::kea-dhcp-ddns,upstream_recovery,U4_NO_UPSTREAM_UNIT,complete pristine orig-tar inventory contained no service unit or template
upstream_artifact,debian:https://kea.isc.org::kea-dhcp4,upstream_recovery,U4_NO_UPSTREAM_UNIT,complete pristine orig-tar inventory contained no service unit or template
upstream_artifact,debian:https://kea.isc.org::kea-dhcp6,upstream_recovery,U4_NO_UPSTREAM_UNIT,complete pristine orig-tar inventory contained no service unit or template
upstream_artifact,debian:https://linuxcontainers.org/incus::incus-user,upstream_recovery,U5_AMBIGUOUS_OR_UNRESOLVED,"no unique upstream artifact; candidates=1, executable_candidates=0"
upstream_artifact,debian:https://linuxcontainers.org/incus::startup,upstream_recovery,U5_AMBIGUOUS_OR_UNRESOLVED,"no unique upstream artifact; candidates=1, executable_candidates=0"
upstream_artifact,debian:https://lttng.org::lttng-sessiond,upstream_recovery,U4_NO_UPSTREAM_UNIT,complete pristine orig-tar inventory contained no service unit or template
upstream_artifact,debian:https://lttng.org::lttng-sessiond,upstream_recovery,U5_AMBIGUOUS_OR_UNRESOLVED,pristine source unavailable
upstream_artifact,debian:https://mmonit.com/monit::monit,upstream_recovery,U5_AMBIGUOUS_OR_UNRESOLVED,ambiguous exact artifacts=2
upstream_artifact,debian:https://mosquitto.org::mosquitto,upstream_recovery,U4_NO_UPSTREAM_UNIT,complete pristine orig-tar inventory contained no service unit or template
upstream_artifact,debian:https://networkmanager.dev::nm-dispatcher,upstream_recovery,U5_AMBIGUOUS_OR_UNRESOLVED,pristine source unavailable
upstream_artifact,debian:https://networkmanager.dev::nm-priv-helper,upstream_recovery,U5_AMBIGUOUS_OR_UNRESOLVED,pristine source unavailable
upstream_artifact,debian:https://omniorb.sourceforge.net::omniNames,upstream_recovery,U4_NO_UPSTREAM_UNIT,complete pristine orig-tar inventory contained no service unit or template
upstream_artifact,debian:https://prometheus.io::prometheus,upstream_recovery,U4_NO_UPSTREAM_UNIT,complete pristine orig-tar inventory contained no service unit or template
upstream_artifact,debian:https://qosient.com/argus::radium,upstream_recovery,U5_AMBIGUOUS_OR_UNRESOLVED,ambiguous exact artifacts=2
upstream_artifact,debian:https://radsecproxy.github.io::radsecproxy,upstream_recovery,U4_NO_UPSTREAM_UNIT,complete pristine orig-tar inventory contained no service unit or template
upstream_artifact,debian:https://snapper.io::snapper,upstream_recovery,U5_AMBIGUOUS_OR_UNRESOLVED,"no unique upstream artifact; candidates=5, executable_candidates=5"
upstream_artifact,debian:https://snapper.io::upstream-unit::data/cleanup.service,upstream_recovery,U5_AMBIGUOUS_OR_UNRESOLVED,"no unique upstream artifact; candidates=5, executable_candidates=2"
upstream_artifact,debian:https://snapper.io::upstream-unit::data/timeline.service,upstream_recovery,U5_AMBIGUOUS_OR_UNRESOLVED,"no unique upstream artifact; candidates=5, executable_candidates=2"
upstream_artifact,debian:https://sourceforge.net/projects/acpid2::acpid,upstream_recovery,U4_NO_UPSTREAM_UNIT,complete pristine orig-tar inventory contained no service unit or template
upstream_artifact,debian:https://sourceforge.net/projects/atftp::in.tftpd,upstream_recovery,U4_NO_UPSTREAM_UNIT,complete pristine orig-tar inventory contained no service unit or template
upstream_artifact,debian:https://sourceforge.net/projects/linuxquota::quota-initial-check.sh,upstream_recovery,U4_NO_UPSTREAM_UNIT,complete pristine orig-tar inventory contained no service unit or template
upstream_artifact,debian:https://sourceforge.net/projects/linuxquota::quotarpc.sh,upstream_recovery,U4_NO_UPSTREAM_UNIT,complete pristine orig-tar inventory contained no service unit or template
