pair,family_type,left_distribution,right_distribution,lineage_id,project,different_dimensions,comparable_dimensions,disagreement_proportion,differing,cohort
Debian ↔ Fedora,CROSS_FAMILY,debian,fedora,https://github.com/ximion/btrfsd::btrfsd,https://github.com/ximion/btrfsd,0,81,0.0,False,C1X
Debian ↔ Fedora,CROSS_FAMILY,debian,fedora,https://github.com/zhuyaliang/group-service::group-admin-daemon,https://github.com/zhuyaliang/group-service,0,81,0.0,False,C1X
Debian ↔ Fedora,CROSS_FAMILY,debian,fedora,https://gitlab.freedesktop.org/bolt/bolt::boltd,https://gitlab.freedesktop.org/bolt/bolt,0,81,0.0,False,C1X
Debian ↔ Fedora,CROSS_FAMILY,debian,fedora,https://gitlab.freedesktop.org/hadess/iio-sensor-proxy::iio-sensor-proxy,https://gitlab.freedesktop.org/hadess/iio-sensor-proxy,0,81,0.0,False,C1X
Debian ↔ Fedora,CROSS_FAMILY,debian,fedora,https://gitlab.freedesktop.org/hadess/low-memory-monitor::low-memory-monitor,https://gitlab.freedesktop.org/hadess/low-memory-monitor,0,81,0.0,False,C1X
Debian ↔ Fedora,CROSS_FAMILY,debian,fedora,https://gitlab.freedesktop.org/hadess/switcheroo-control::switcheroo-control,https://gitlab.freedesktop.org/hadess/switcheroo-control,0,81,0.0,False,C1X
Debian ↔ Fedora,CROSS_FAMILY,debian,fedora,https://gitlab.freedesktop.org/upower/power-profiles-daemon::power-profiles-daemon,https://gitlab.freedesktop.org/upower/power-profiles-daemon,0,81,0.0,False,C1X
Debian ↔ Fedora,CROSS_FAMILY,debian,fedora,https://grid.ncsa.illinois.edu/myproxy::upstream-unit::systemd/myproxy-server.service,https://grid.ncsa.illinois.edu/myproxy,0,81,0.0,False,C1X
Debian ↔ Fedora,CROSS_FAMILY,debian,fedora,https://hcpnet.free.fr/milter-greylist::milter-greylist,https://hcpnet.free.fr/milter-greylist,0,81,0.0,False,C1X
Debian ↔ Fedora,CROSS_FAMILY,debian,fedora,https://hitch-tls.org::hitch,https://hitch-tls.org,43,81,0.5308641975308642,True,C1X
Debian ↔ Fedora,CROSS_FAMILY,debian,fedora,https://htcondor.org::upstream-unit::src/condor_examples/condor-annex-ec2.service,https://htcondor.org,0,81,0.0,False,C1X
Debian ↔ Fedora,CROSS_FAMILY,debian,fedora,https://htcondor.org::upstream-unit::src/condor_examples/condor.service,https://htcondor.org,0,81,0.0,False,C1X
Debian ↔ Fedora,CROSS_FAMILY,debian,fedora,https://httpd.apache.org::htcacheclean,https://httpd.apache.org,1,81,0.012345679012345678,True,C1X
Debian ↔ Fedora,CROSS_FAMILY,debian,fedora,https://humdi.net/vnstat::vnstatd,https://humdi.net/vnstat,0,81,0.0,False,C1X
Debian ↔ Fedora,CROSS_FAMILY,debian,fedora,https://iwd.wiki.kernel.org::iwd,https://iwd.wiki.kernel.org,0,81,0.0,False,C1X
Debian ↔ Fedora,CROSS_FAMILY,debian,fedora,https://jabberd2.org::true,https://jabberd2.org,0,81,0.0,False,C1X
Debian ↔ Fedora,CROSS_FAMILY,debian,fedora,https://kea.isc.org::kea-ctrl-agent,https://kea.isc.org,0,81,0.0,False,C1X
Debian ↔ Fedora,CROSS_FAMILY,debian,fedora,https://kea.isc.org::kea-dhcp-ddns,https://kea.isc.org,0,81,0.0,False,C1X
Debian ↔ Fedora,CROSS_FAMILY,debian,fedora,https://kea.isc.org::kea-dhcp4,https://kea.isc.org,0,81,0.0,False,C1X
Debian ↔ Fedora,CROSS_FAMILY,debian,fedora,https://kea.isc.org::kea-dhcp6,https://kea.isc.org,0,81,0.0,False,C1X
Debian ↔ Fedora,CROSS_FAMILY,debian,fedora,https://libreswan.org::pluto,https://libreswan.org,0,81,0.0,False,C1X
Debian ↔ Fedora,CROSS_FAMILY,debian,fedora,https://linux-nfs.org::rpc.gssd,https://linux-nfs.org,0,81,0.0,False,C1X
Debian ↔ Fedora,CROSS_FAMILY,debian,fedora,https://linux-nfs.org::upstream-unit::systemd/fsidd.service,https://linux-nfs.org,0,81,0.0,False,C1X
Debian ↔ Fedora,CROSS_FAMILY,debian,fedora,https://linux-nfs.org::upstream-unit::systemd/nfs-idmapd.service,https://linux-nfs.org,0,81,0.0,False,C1X
Debian ↔ Fedora,CROSS_FAMILY,debian,fedora,https://linux-nfs.org::upstream-unit::systemd/nfs-mountd.service,https://linux-nfs.org,0,81,0.0,False,C1X
Debian ↔ Fedora,CROSS_FAMILY,debian,fedora,https://linux-nfs.org::upstream-unit::systemd/nfs-utils.service,https://linux-nfs.org,0,81,0.0,False,C1X
