pair,family_type,assessment_family,different_lineages,comparable_lineages,projects,rate,ci_low,ci_high,cohort,observational_unit
Debian ↔ Fedora,CROSS_FAMILY,ProtectClock,11,335,178,0.03283582089552239,0.012525443632567851,0.06538461538461539,C1X,lineage-family
Debian ↔ Fedora,CROSS_FAMILY,ProtectControlGroups,17,335,178,0.050746268656716415,0.02743798028733712,0.08835860045347434,C1X,lineage-family
Debian ↔ Fedora,CROSS_FAMILY,ProtectHome,17,335,178,0.050746268656716415,0.02352803093068213,0.09426422827095574,C1X,lineage-family
Debian ↔ Fedora,CROSS_FAMILY,ProtectHostname,10,335,178,0.029850746268656716,0.010845840020222328,0.06006006006006006,C1X,lineage-family
Debian ↔ Fedora,CROSS_FAMILY,ProtectKernelLogs,11,335,178,0.03283582089552239,0.014925373134328358,0.06198347107438017,C1X,lineage-family
Debian ↔ Fedora,CROSS_FAMILY,ProtectKernelModules,16,335,178,0.04776119402985075,0.024767163512176442,0.08264462809917356,C1X,lineage-family
Debian ↔ Fedora,CROSS_FAMILY,ProtectKernelTunables,14,335,178,0.041791044776119404,0.018216786926994907,0.08097439544807962,C1X,lineage-family
Debian ↔ Fedora,CROSS_FAMILY,ProtectProc,4,335,178,0.011940298507462687,0.0,0.028410888952819305,C1X,lineage-family
Debian ↔ Fedora,CROSS_FAMILY,ProtectSystem,21,335,178,0.0626865671641791,0.03232305097655187,0.11155463980985926,C1X,lineage-family
Debian ↔ Fedora,CROSS_FAMILY,RemoveIPC,25,335,178,0.07462686567164178,0.0277761739799846,0.15649092662519354,C1X,lineage-family
Debian ↔ Fedora,CROSS_FAMILY,RestrictAddressFamilies,8,335,178,0.023880597014925373,0.006944444444444444,0.051181102362204724,C1X,lineage-family
Debian ↔ Fedora,CROSS_FAMILY,RestrictNamespaces,8,335,178,0.023880597014925373,0.00729882715611934,0.05147350606909426,C1X,lineage-family
Debian ↔ Fedora,CROSS_FAMILY,RestrictRealtime,12,335,178,0.03582089552238806,0.014450867052023121,0.06991006541833963,C1X,lineage-family
Debian ↔ Fedora,CROSS_FAMILY,RestrictSUIDSGID,9,335,178,0.026865671641791045,0.00923041474654378,0.05639097744360902,C1X,lineage-family
Debian ↔ Fedora,CROSS_FAMILY,RootDirectoryOrRootImage,4,335,178,0.011940298507462687,0.0,0.030654288240495094,C1X,lineage-family
Debian ↔ Fedora,CROSS_FAMILY,SupplementaryGroups,22,335,178,0.06567164179104477,0.021604383160138557,0.14539337885042863,C1X,lineage-family
Debian ↔ Fedora,CROSS_FAMILY,SystemCallArchitectures,11,335,178,0.03283582089552239,0.014880675783324481,0.05776397052242143,C1X,lineage-family
Debian ↔ Fedora,CROSS_FAMILY,SystemCallFilter,10,335,178,0.029850746268656716,0.012406691548920289,0.057554501853062996,C1X,lineage-family
Debian ↔ Fedora,CROSS_FAMILY,UMask,4,335,178,0.011940298507462687,0.0,0.032727543290043286,C1X,lineage-family
Debian ↔ Fedora,CROSS_FAMILY,UserOrDynamicUser,22,335,178,0.06567164179104477,0.020769823862973134,0.1434208991211012,C1X,lineage-family
Debian ↔ Arch,CROSS_FAMILY,AmbientCapabilities,7,192,130,0.036458333333333336,0.012658227848101266,0.06598984771573604,C1X,lineage-family
Debian ↔ Arch,CROSS_FAMILY,CapabilityBoundingSet,27,192,130,0.140625,0.08163046334413593,0.2146341463414634,C1X,lineage-family
Debian ↔ Arch,CROSS_FAMILY,Delegate,0,192,130,0.0,0.0,0.0,C1X,lineage-family
Debian ↔ Arch,CROSS_FAMILY,DeviceAllow,21,192,130,0.109375,0.06091019996073702,0.1690858416945373,C1X,lineage-family
Debian ↔ Arch,CROSS_FAMILY,IPAddressDeny,0,192,130,0.0,0.0,0.0,C1X,lineage-family
Debian ↔ Arch,CROSS_FAMILY,KeyringMode,0,192,130,0.0,0.0,0.0,C1X,lineage-family
Debian ↔ Arch,CROSS_FAMILY,LockPersonality,14,192,130,0.07291666666666667,0.03608247422680412,0.11702127659574468,C1X,lineage-family
Debian ↔ Arch,CROSS_FAMILY,MemoryDenyWriteExecute,13,192,130,0.06770833333333333,0.03157776197249881,0.11049723756906077,C1X,lineage-family
Debian ↔ Arch,CROSS_FAMILY,NoNewPrivileges,24,192,130,0.125,0.07339449541284404,0.18644287345218227,C1X,lineage-family
Debian ↔ Arch,CROSS_FAMILY,NotifyAccess,0,192,130,0.0,0.0,0.0,C1X,lineage-family
Debian ↔ Arch,CROSS_FAMILY,PrivateDevices,16,192,130,0.08333333333333333,0.042105263157894736,0.13690476190476192,C1X,lineage-family
Debian ↔ Arch,CROSS_FAMILY,PrivateMounts,0,192,130,0.0,0.0,0.0,C1X,lineage-family
Debian ↔ Arch,CROSS_FAMILY,PrivateNetwork,0,192,130,0.0,0.0,0.0,C1X,lineage-family
Debian ↔ Arch,CROSS_FAMILY,PrivateTmp,25,192,130,0.13020833333333334,0.08333333333333333,0.18478732093490818,C1X,lineage-family
Debian ↔ Arch,CROSS_FAMILY,PrivateUsers,6,192,130,0.03125,0.005434048178613396,0.06451612903225806,C1X,lineage-family
Debian ↔ Arch,CROSS_FAMILY,ProcSubset,2,192,130,0.010416666666666666,0.0,0.027932960893854747,C1X,lineage-family
Debian ↔ Arch,CROSS_FAMILY,ProtectClock,11,192,130,0.057291666666666664,0.024240228370663155,0.0989010989010989,C1X,lineage-family
Debian ↔ Arch,CROSS_FAMILY,ProtectControlGroups,14,192,130,0.07291666666666667,0.035897435897435895,0.12,C1X,lineage-family
Debian ↔ Arch,CROSS_FAMILY,ProtectHome,24,192,130,0.125,0.07869946189645143,0.1809140732904286,C1X,lineage-family
Debian ↔ Arch,CROSS_FAMILY,ProtectHostname,14,192,130,0.07291666666666667,0.03571428571428571,0.11864406779661017,C1X,lineage-family
Debian ↔ Arch,CROSS_FAMILY,ProtectKernelLogs,13,192,130,0.06770833333333333,0.03208250921788392,0.11299435028248588,C1X,lineage-family
Debian ↔ Arch,CROSS_FAMILY,ProtectKernelModules,15,192,130,0.078125,0.039602561951110365,0.125,C1X,lineage-family
Debian ↔ Arch,CROSS_FAMILY,ProtectKernelTunables,19,192,130,0.09895833333333333,0.052380329094988784,0.1564245810055866,C1X,lineage-family
Debian ↔ Arch,CROSS_FAMILY,ProtectProc,8,192,130,0.041666666666666664,0.009301248923341946,0.08737996710700831,C1X,lineage-family
Debian ↔ Arch,CROSS_FAMILY,ProtectSystem,29,192,130,0.15104166666666666,0.09909803671596125,0.21023474880382764,C1X,lineage-family
Debian ↔ Arch,CROSS_FAMILY,RemoveIPC,27,192,130,0.140625,0.06532390211929212,0.24390243902439024,C1X,lineage-family
Debian ↔ Arch,CROSS_FAMILY,RestrictAddressFamilies,8,192,130,0.041666666666666664,0.013824884792626729,0.07692307692307693,C1X,lineage-family
Debian ↔ Arch,CROSS_FAMILY,RestrictNamespaces,10,192,130,0.052083333333333336,0.020302004819771315,0.09189344516930723,C1X,lineage-family
Debian ↔ Arch,CROSS_FAMILY,RestrictRealtime,14,192,130,0.07291666666666667,0.03587043561819347,0.11855670103092783,C1X,lineage-family
Debian ↔ Arch,CROSS_FAMILY,RestrictSUIDSGID,13,192,130,0.06770833333333333,0.03124595207253886,0.11173184357541899,C1X,lineage-family
Debian ↔ Arch,CROSS_FAMILY,RootDirectoryOrRootImage,3,192,130,0.015625,0.0,0.03529560308972071,C1X,lineage-family
Debian ↔ Arch,CROSS_FAMILY,SupplementaryGroups,17,192,130,0.08854166666666667,0.022598870056497175,0.18571744627054357,C1X,lineage-family
Debian ↔ Arch,CROSS_FAMILY,SystemCallArchitectures,9,192,130,0.046875,0.016216216216216217,0.0847457627118644,C1X,lineage-family
Debian ↔ Arch,CROSS_FAMILY,SystemCallFilter,10,192,130,0.052083333333333336,0.020942408376963352,0.09090909090909091,C1X,lineage-family
Debian ↔ Arch,CROSS_FAMILY,UMask,3,192,130,0.015625,0.0,0.04286098310291853,C1X,lineage-family
Debian ↔ Arch,CROSS_FAMILY,UserOrDynamicUser,22,192,130,0.11458333333333333,0.041666666666666664,0.21212121212121213,C1X,lineage-family
Ubuntu ↔ Fedora,CROSS_FAMILY,AmbientCapabilities,2,434,239,0.004608294930875576,0.0,0.012740894986117886,C1X,lineage-family
Ubuntu ↔ Fedora,CROSS_FAMILY,CapabilityBoundingSet,29,434,239,0.06682027649769585,0.0372086196695945,0.10967843057943168,C1X,lineage-family
Ubuntu ↔ Fedora,CROSS_FAMILY,Delegate,0,434,239,0.0,0.0,0.0,C1X,lineage-family
Ubuntu ↔ Fedora,CROSS_FAMILY,DeviceAllow,18,434,239,0.041474654377880185,0.019736842105263157,0.07418421556427682,C1X,lineage-family
Ubuntu ↔ Fedora,CROSS_FAMILY,IPAddressDeny,0,434,239,0.0,0.0,0.0,C1X,lineage-family
Ubuntu ↔ Fedora,CROSS_FAMILY,KeyringMode,0,434,239,0.0,0.0,0.0,C1X,lineage-family
Ubuntu ↔ Fedora,CROSS_FAMILY,LockPersonality,14,434,239,0.03225806451612903,0.014051111385019927,0.060318710161229826,C1X,lineage-family
Ubuntu ↔ Fedora,CROSS_FAMILY,MemoryDenyWriteExecute,18,434,239,0.041474654377880185,0.020089061603557088,0.07256394177782843,C1X,lineage-family
Ubuntu ↔ Fedora,CROSS_FAMILY,NoNewPrivileges,17,434,239,0.03917050691244239,0.01904761904761905,0.06906098087037314,C1X,lineage-family
Ubuntu ↔ Fedora,CROSS_FAMILY,NotifyAccess,1,434,239,0.002304147465437788,0.0,0.008823529411764706,C1X,lineage-family
Ubuntu ↔ Fedora,CROSS_FAMILY,PrivateDevices,15,434,239,0.03456221198156682,0.014561347966793304,0.0632219530730502,C1X,lineage-family
Ubuntu ↔ Fedora,CROSS_FAMILY,PrivateMounts,0,434,239,0.0,0.0,0.0,C1X,lineage-family
Ubuntu ↔ Fedora,CROSS_FAMILY,PrivateNetwork,0,434,239,0.0,0.0,0.0,C1X,lineage-family
Ubuntu ↔ Fedora,CROSS_FAMILY,PrivateTmp,32,434,239,0.07373271889400922,0.040723012973926186,0.12011194155048903,C1X,lineage-family
Ubuntu ↔ Fedora,CROSS_FAMILY,PrivateUsers,4,434,239,0.009216589861751152,0.0,0.025236593059936908,C1X,lineage-family
Ubuntu ↔ Fedora,CROSS_FAMILY,ProcSubset,1,434,239,0.002304147465437788,0.0,0.0084985835694051,C1X,lineage-family
Ubuntu ↔ Fedora,CROSS_FAMILY,ProtectClock,15,434,239,0.03456221198156682,0.015412860778472648,0.06309552088480097,C1X,lineage-family
Ubuntu ↔ Fedora,CROSS_FAMILY,ProtectControlGroups,22,434,239,0.05069124423963134,0.026725382186952668,0.08686006488368404,C1X,lineage-family
Ubuntu ↔ Fedora,CROSS_FAMILY,ProtectHome,29,434,239,0.06682027649769585,0.03669648318042814,0.11011969461697721,C1X,lineage-family
Ubuntu ↔ Fedora,CROSS_FAMILY,ProtectHostname,14,434,239,0.03225806451612903,0.01411681855840928,0.060608250131371486,C1X,lineage-family
Ubuntu ↔ Fedora,CROSS_FAMILY,ProtectKernelLogs,14,434,239,0.03225806451612903,0.013952679005018075,0.06042296072507553,C1X,lineage-family
Ubuntu ↔ Fedora,CROSS_FAMILY,ProtectKernelModules,20,434,239,0.04608294930875576,0.023216712827614505,0.07879186602870807,C1X,lineage-family
Ubuntu ↔ Fedora,CROSS_FAMILY,ProtectKernelTunables,19,434,239,0.04377880184331797,0.021638137879423012,0.07595087044108359,C1X,lineage-family
Ubuntu ↔ Fedora,CROSS_FAMILY,ProtectProc,5,434,239,0.01152073732718894,0.0,0.029892869665397694,C1X,lineage-family
Ubuntu ↔ Fedora,CROSS_FAMILY,ProtectSystem,30,434,239,0.06912442396313365,0.037845287002987824,0.11475639436102307,C1X,lineage-family
Ubuntu ↔ Fedora,CROSS_FAMILY,RemoveIPC,29,434,239,0.06682027649769585,0.03655780796568112,0.1096793863099921,C1X,lineage-family
Ubuntu ↔ Fedora,CROSS_FAMILY,RestrictAddressFamilies,9,434,239,0.020737327188940093,0.006060300586510264,0.042682926829268296,C1X,lineage-family
Ubuntu ↔ Fedora,CROSS_FAMILY,RestrictNamespaces,12,434,239,0.027649769585253458,0.011235504897723998,0.05382646243595516,C1X,lineage-family
Ubuntu ↔ Fedora,CROSS_FAMILY,RestrictRealtime,16,434,239,0.03686635944700461,0.01729106628242075,0.06647880539499029,C1X,lineage-family
Ubuntu ↔ Fedora,CROSS_FAMILY,RestrictSUIDSGID,15,434,239,0.03456221198156682,0.015923451657802318,0.06233485772357717,C1X,lineage-family
Ubuntu ↔ Fedora,CROSS_FAMILY,RootDirectoryOrRootImage,5,434,239,0.01152073732718894,0.001937984496124031,0.028011204481792718,C1X,lineage-family
Ubuntu ↔ Fedora,CROSS_FAMILY,SupplementaryGroups,23,434,239,0.052995391705069124,0.028075110634505882,0.08868682481949945,C1X,lineage-family
Ubuntu ↔ Fedora,CROSS_FAMILY,SystemCallArchitectures,12,434,239,0.027649769585253458,0.012011711711711712,0.050461292650242205,C1X,lineage-family
Ubuntu ↔ Fedora,CROSS_FAMILY,SystemCallFilter,11,434,239,0.02534562211981567,0.009229779411764708,0.0498570381231671,C1X,lineage-family
Ubuntu ↔ Fedora,CROSS_FAMILY,UMask,11,434,239,0.02534562211981567,0.008928074292077632,0.050956316197831135,C1X,lineage-family
Ubuntu ↔ Fedora,CROSS_FAMILY,UserOrDynamicUser,24,434,239,0.055299539170506916,0.029894250719496685,0.09202655795931543,C1X,lineage-family
Ubuntu ↔ Arch,CROSS_FAMILY,AmbientCapabilities,7,238,152,0.029411764705882353,0.011069093227696983,0.053922077129607025,C1X,lineage-family
Ubuntu ↔ Arch,CROSS_FAMILY,CapabilityBoundingSet,31,238,152,0.13025210084033614,0.0780655962456168,0.1924916301085199,C1X,lineage-family
Ubuntu ↔ Arch,CROSS_FAMILY,Delegate,0,238,152,0.0,0.0,0.0,C1X,lineage-family
Ubuntu ↔ Arch,CROSS_FAMILY,DeviceAllow,25,238,152,0.10504201680672269,0.06140350877192982,0.1585379284409584,C1X,lineage-family
Ubuntu ↔ Arch,CROSS_FAMILY,IPAddressDeny,0,238,152,0.0,0.0,0.0,C1X,lineage-family
Ubuntu ↔ Arch,CROSS_FAMILY,KeyringMode,0,238,152,0.0,0.0,0.0,C1X,lineage-family
Ubuntu ↔ Arch,CROSS_FAMILY,LockPersonality,17,238,152,0.07142857142857142,0.03759398496240601,0.11060005882929698,C1X,lineage-family
Ubuntu ↔ Arch,CROSS_FAMILY,MemoryDenyWriteExecute,15,238,152,0.06302521008403361,0.03162055335968379,0.10268170060080102,C1X,lineage-family
Ubuntu ↔ Arch,CROSS_FAMILY,NoNewPrivileges,25,238,152,0.10504201680672269,0.0625,0.15493761656698168,C1X,lineage-family
Ubuntu ↔ Arch,CROSS_FAMILY,NotifyAccess,1,238,152,0.004201680672268907,0.0,0.0136986301369863,C1X,lineage-family
Ubuntu ↔ Arch,CROSS_FAMILY,PrivateDevices,18,238,152,0.07563025210084033,0.040160642570281124,0.12206838314957615,C1X,lineage-family
Ubuntu ↔ Arch,CROSS_FAMILY,PrivateMounts,0,238,152,0.0,0.0,0.0,C1X,lineage-family
Ubuntu ↔ Arch,CROSS_FAMILY,PrivateNetwork,0,238,152,0.0,0.0,0.0,C1X,lineage-family
Ubuntu ↔ Arch,CROSS_FAMILY,PrivateTmp,30,238,152,0.12605042016806722,0.08296286567948255,0.1809057190715482,C1X,lineage-family
Ubuntu ↔ Arch,CROSS_FAMILY,PrivateUsers,8,238,152,0.03361344537815126,0.01110805860805861,0.06222222222222222,C1X,lineage-family
Ubuntu ↔ Arch,CROSS_FAMILY,ProcSubset,2,238,152,0.008403361344537815,0.0,0.02242152466367713,C1X,lineage-family
Ubuntu ↔ Arch,CROSS_FAMILY,ProtectClock,15,238,152,0.06302521008403361,0.03149297514281303,0.10080822014714201,C1X,lineage-family
Ubuntu ↔ Arch,CROSS_FAMILY,ProtectControlGroups,16,238,152,0.06722689075630252,0.03571428571428571,0.10628019323671498,C1X,lineage-family
Ubuntu ↔ Arch,CROSS_FAMILY,ProtectHome,29,238,152,0.12184873949579832,0.07982888807696992,0.17326732673267325,C1X,lineage-family
Ubuntu ↔ Arch,CROSS_FAMILY,ProtectHostname,18,238,152,0.07563025210084033,0.04081632653061224,0.11688311688311688,C1X,lineage-family
Ubuntu ↔ Arch,CROSS_FAMILY,ProtectKernelLogs,16,238,152,0.06722689075630252,0.03463203463203463,0.10762504311831664,C1X,lineage-family
Ubuntu ↔ Arch,CROSS_FAMILY,ProtectKernelModules,17,238,152,0.07142857142857142,0.03829787234042553,0.11165048543689321,C1X,lineage-family
Ubuntu ↔ Arch,CROSS_FAMILY,ProtectKernelTunables,21,238,152,0.08823529411764706,0.048,0.1346938775510204,C1X,lineage-family
Ubuntu ↔ Arch,CROSS_FAMILY,ProtectProc,10,238,152,0.04201680672268908,0.012875536480686695,0.08108108108108109,C1X,lineage-family
Ubuntu ↔ Arch,CROSS_FAMILY,ProtectSystem,34,238,152,0.14285714285714285,0.09349593495934959,0.1990521327014218,C1X,lineage-family
Ubuntu ↔ Arch,CROSS_FAMILY,RemoveIPC,20,238,152,0.08403361344537816,0.048,0.126051333576909,C1X,lineage-family
Ubuntu ↔ Arch,CROSS_FAMILY,RestrictAddressFamilies,9,238,152,0.037815126050420166,0.013042066629023151,0.06912442396313365,C1X,lineage-family
Ubuntu ↔ Arch,CROSS_FAMILY,RestrictNamespaces,12,238,152,0.05042016806722689,0.02214022140221402,0.08583690987124463,C1X,lineage-family
Ubuntu ↔ Arch,CROSS_FAMILY,RestrictRealtime,17,238,152,0.07142857142857142,0.03802281368821293,0.1091703056768559,C1X,lineage-family
Ubuntu ↔ Arch,CROSS_FAMILY,RestrictSUIDSGID,16,238,152,0.06722689075630252,0.03501945525291829,0.10667441860465106,C1X,lineage-family
Ubuntu ↔ Arch,CROSS_FAMILY,RootDirectoryOrRootImage,3,238,152,0.012605042016806723,0.0,0.027649769585253458,C1X,lineage-family
Ubuntu ↔ Arch,CROSS_FAMILY,SupplementaryGroups,8,238,152,0.03361344537815126,0.012096774193548387,0.05909090909090909,C1X,lineage-family
Ubuntu ↔ Arch,CROSS_FAMILY,SystemCallArchitectures,11,238,152,0.046218487394957986,0.019377974319834786,0.07981269972777842,C1X,lineage-family
Ubuntu ↔ Arch,CROSS_FAMILY,SystemCallFilter,12,238,152,0.05042016806722689,0.023409744544070375,0.08593838376696832,C1X,lineage-family
Ubuntu ↔ Arch,CROSS_FAMILY,UMask,3,238,152,0.012605042016806723,0.0,0.034782608695652174,C1X,lineage-family
Ubuntu ↔ Arch,CROSS_FAMILY,UserOrDynamicUser,14,238,152,0.058823529411764705,0.030434782608695653,0.09389972312507519,C1X,lineage-family
Fedora ↔ Arch,CROSS_FAMILY,AmbientCapabilities,8,258,156,0.031007751937984496,0.011903585544889893,0.05531914893617021,C1X,lineage-family
Fedora ↔ Arch,CROSS_FAMILY,CapabilityBoundingSet,29,258,156,0.1124031007751938,0.06774011642008247,0.16972477064220184,C1X,lineage-family
Fedora ↔ Arch,CROSS_FAMILY,Delegate,0,258,156,0.0,0.0,0.0,C1X,lineage-family
Fedora ↔ Arch,CROSS_FAMILY,DeviceAllow,19,258,156,0.07364341085271318,0.04074032176973354,0.11304347826086956,C1X,lineage-family
Fedora ↔ Arch,CROSS_FAMILY,IPAddressDeny,0,258,156,0.0,0.0,0.0,C1X,lineage-family
Fedora ↔ Arch,CROSS_FAMILY,KeyringMode,0,258,156,0.0,0.0,0.0,C1X,lineage-family
Fedora ↔ Arch,CROSS_FAMILY,LockPersonality,10,258,156,0.03875968992248062,0.016876571623407065,0.06722783283717072,C1X,lineage-family
Fedora ↔ Arch,CROSS_FAMILY,MemoryDenyWriteExecute,8,258,156,0.031007751937984496,0.011363636363636364,0.05641129032258063,C1X,lineage-family
Fedora ↔ Arch,CROSS_FAMILY,NoNewPrivileges,20,258,156,0.07751937984496124,0.044444444444444446,0.11894314069076199,C1X,lineage-family
Fedora ↔ Arch,CROSS_FAMILY,NotifyAccess,1,258,156,0.003875968992248062,0.0,0.013216588382880638,C1X,lineage-family
Fedora ↔ Arch,CROSS_FAMILY,PrivateDevices,15,258,156,0.05813953488372093,0.029406990068754777,0.0944206008583691,C1X,lineage-family
Fedora ↔ Arch,CROSS_FAMILY,PrivateMounts,0,258,156,0.0,0.0,0.0,C1X,lineage-family
Fedora ↔ Arch,CROSS_FAMILY,PrivateNetwork,2,258,156,0.007751937984496124,0.0,0.020491803278688523,C1X,lineage-family
Fedora ↔ Arch,CROSS_FAMILY,PrivateTmp,22,258,156,0.08527131782945736,0.04999584717607974,0.12941176470588237,C1X,lineage-family
Fedora ↔ Arch,CROSS_FAMILY,PrivateUsers,4,258,156,0.015503875968992248,0.0032671806586712358,0.033495054631150434,C1X,lineage-family
Fedora ↔ Arch,CROSS_FAMILY,ProcSubset,2,258,156,0.007751937984496124,0.0,0.021099281270113675,C1X,lineage-family
Fedora ↔ Arch,CROSS_FAMILY,ProtectClock,9,258,156,0.03488372093023256,0.014388489208633094,0.0622568093385214,C1X,lineage-family
Fedora ↔ Arch,CROSS_FAMILY,ProtectControlGroups,13,258,156,0.050387596899224806,0.02515554203016163,0.08267790539340476,C1X,lineage-family
Fedora ↔ Arch,CROSS_FAMILY,ProtectHome,24,258,156,0.09302325581395349,0.05319060578214462,0.13807965216049972,C1X,lineage-family
Fedora ↔ Arch,CROSS_FAMILY,ProtectHostname,10,258,156,0.03875968992248062,0.01652892561983471,0.06614785992217899,C1X,lineage-family
Fedora ↔ Arch,CROSS_FAMILY,ProtectKernelLogs,9,258,156,0.03488372093023256,0.013986013986013986,0.06198890822096556,C1X,lineage-family
Fedora ↔ Arch,CROSS_FAMILY,ProtectKernelModules,12,258,156,0.046511627906976744,0.021580799876228053,0.07787018309559292,C1X,lineage-family
Fedora ↔ Arch,CROSS_FAMILY,ProtectKernelTunables,14,258,156,0.05426356589147287,0.027302094261696393,0.08849557522123894,C1X,lineage-family
Fedora ↔ Arch,CROSS_FAMILY,ProtectProc,6,258,156,0.023255813953488372,0.007067137809187279,0.045287307032589985,C1X,lineage-family
Fedora ↔ Arch,CROSS_FAMILY,ProtectSystem,28,258,156,0.10852713178294573,0.06761445609310378,0.16087324981577,C1X,lineage-family
Fedora ↔ Arch,CROSS_FAMILY,RemoveIPC,19,258,156,0.07364341085271318,0.04153326995146865,0.11415851272015651,C1X,lineage-family
Fedora ↔ Arch,CROSS_FAMILY,RestrictAddressFamilies,13,258,156,0.050387596899224806,0.024822695035460994,0.08333333333333333,C1X,lineage-family
Fedora ↔ Arch,CROSS_FAMILY,RestrictNamespaces,11,258,156,0.04263565891472868,0.01953125,0.07339449541284404,C1X,lineage-family
Fedora ↔ Arch,CROSS_FAMILY,RestrictRealtime,12,258,156,0.046511627906976744,0.022639987827145464,0.07725321888412018,C1X,lineage-family
Fedora ↔ Arch,CROSS_FAMILY,RestrictSUIDSGID,13,258,156,0.050387596899224806,0.025207072076142287,0.08219326335764689,C1X,lineage-family
Fedora ↔ Arch,CROSS_FAMILY,RootDirectoryOrRootImage,2,258,156,0.007751937984496124,0.0,0.02100840336134454,C1X,lineage-family
Fedora ↔ Arch,CROSS_FAMILY,SupplementaryGroups,12,258,156,0.046511627906976744,0.020829741379310346,0.07860262008733625,C1X,lineage-family
Fedora ↔ Arch,CROSS_FAMILY,SystemCallArchitectures,12,258,156,0.046511627906976744,0.02228876613494166,0.07723577235772358,C1X,lineage-family
Fedora ↔ Arch,CROSS_FAMILY,SystemCallFilter,11,258,156,0.04263565891472868,0.01893760720411664,0.07180084745762702,C1X,lineage-family
Fedora ↔ Arch,CROSS_FAMILY,UMask,5,258,156,0.01937984496124031,0.003609783653221827,0.04247309619650042,C1X,lineage-family
Fedora ↔ Arch,CROSS_FAMILY,UserOrDynamicUser,16,258,156,0.06201550387596899,0.03347241449036412,0.0992063492063492,C1X,lineage-family
Debian ↔ Ubuntu,DERIVATIVE_FAMILY,AmbientCapabilities,0,459,256,0.0,0.0,0.0,C1D,lineage-family
Debian ↔ Ubuntu,DERIVATIVE_FAMILY,CapabilityBoundingSet,6,459,256,0.013071895424836602,0.004385724979845676,0.024391598915989143,C1D,lineage-family
Debian ↔ Ubuntu,DERIVATIVE_FAMILY,Delegate,0,459,256,0.0,0.0,0.0,C1D,lineage-family
Debian ↔ Ubuntu,DERIVATIVE_FAMILY,DeviceAllow,3,459,256,0.006535947712418301,0.0,0.013186813186813187,C1D,lineage-family
Debian ↔ Ubuntu,DERIVATIVE_FAMILY,IPAddressDeny,0,459,256,0.0,0.0,0.0,C1D,lineage-family
Debian ↔ Ubuntu,DERIVATIVE_FAMILY,KeyringMode,0,459,256,0.0,0.0,0.0,C1D,lineage-family
Debian ↔ Ubuntu,DERIVATIVE_FAMILY,LockPersonality,1,459,256,0.002178649237472767,0.0,0.007916617092306278,C1D,lineage-family
Debian ↔ Ubuntu,DERIVATIVE_FAMILY,MemoryDenyWriteExecute,1,459,256,0.002178649237472767,0.0,0.00793703423013767,C1D,lineage-family
Debian ↔ Ubuntu,DERIVATIVE_FAMILY,NoNewPrivileges,2,459,256,0.004357298474945534,0.0,0.011601040268908165,C1D,lineage-family
Debian ↔ Ubuntu,DERIVATIVE_FAMILY,NotifyAccess,1,459,256,0.002178649237472767,0.0,0.007957559681697613,C1D,lineage-family
